Expert_review_group	PMID	Citation	Gene	Data_source	Assay_class_summary	Number_var_total	MAVE_DB	PS3_evidence_weighting_Path	BS3_evidence_weighting_ben
ClinGen Familial Hypercholesterolemia Expert Panel	25647241	"Thormaehlen AS, Schuberth C, Won HH, Blattmann P, Joggerst-Thomalla B, Theiss S, Asselta R, Duga S, Merlini PA, Ardissino D, Lander ES, Gabriel S, Rader DJ, Peloso GM, Pepperkok R, Kathiresan S, Runz H. Systematic cell-based phenotyping of missense alleles empowers rare variant association studies: a case for LDLR and myocardial infarction. PLoS Genet. 2015 Feb 3;11(2):e1004855. doi: 10.1371/journal.pgen.1004855. Erratum in: PLoS Genet. 2015 Mar;11(3):e1005060. PMID: 25647241; PMCID: PMC4409815."	LDLR	Figure 3/ PS3/BS3 code text	Ligand uptake assay	79	No	"strong, moderate and supporting"	strong and supporting
ClinGen PTEN Expert Panel	29706350	"Mighell TL, Evans-Dutson S, O'Roak BJ. A Saturation Mutagenesis Approach to Understanding PTEN Lipid Phosphatase Activity and Genotype-Phenotype Relationships. Am J Hum Genet. 2018 May 3;102(5):943-955. doi: 10.1016/j.ajhg.2018.03.018. Epub 2018 Apr 26. PMID: 29706350; PMCID: PMC5986715."	PTEN	PS3/BS3 code text	Massively parallel functional testing in humanized yeast model for lipid phosphatase activity	8012	Yes	moderate and supporting	supporting
ClinGen PTEN Expert Panel	9811831	"Myers MP, Pass I, Batty IH, Van der Kaay J, Stolarov JP, Hemmings BA, Wigler MH, Downes CP, Tonks NK. The lipid phosphatase activity of PTEN is critical for its tumor supressor function. Proc Natl Acad Sci U S A. 1998 Nov 10;95(23):13513-8. doi: 10.1073/pnas.95.23.13513. PMID: 9811831; PMCID: PMC24850."	PTEN	PS3/BS3 code text	Phosphatase assay 	4	No	moderate and supporting	supporting
ClinGen PTEN Expert Panel	9778245	"Stambolic V, Suzuki A, de la Pompa JL, Brothers GM, Mirtsos C, Sasaki T, Ruland J, Penninger JM, Siderovski DP, Mak TW. Negative regulation of PKB/Akt-dependent cell survival by the tumor suppressor PTEN. Cell. 1998 Oct 2;95(1):29-39. doi: 10.1016/s0092-8674(00)81780-8. PMID: 9778245."	PTEN	PS3/BS3 code text	Phosphatase assay 	NA	No	moderate and supporting	supporting
ClinGen PTEN Expert Panel	10866302	"Han SY, Kato H, Kato S, Suzuki T, Shibata H, Ishii S, Shiiba K, Matsuno S, Kanamaru R, Ishioka C. Functional evaluation of PTEN missense mutations using in vitro phosphoinositide phosphatase assay. Cancer Res. 2000 Jun 15;60(12):3147-51. PMID: 10866302."	PTEN	PS3/BS3 code text	Phosphatase assay 	42	No	moderate and supporting	supporting
ClinGen PTEN Expert Panel	21828076	"Rodríguez-Escudero I, Oliver MD, Andrés-Pons A, Molina M, Cid VJ, Pulido R. A comprehensive functional analysis of PTEN mutations: implications in tumor- and autism-related syndromes. Hum Mol Genet. 2011 Nov 1;20(21):4132-42. doi: 10.1093/hmg/ddr337. Epub 2011 Aug 9. PMID: 21828076."	PTEN	PS3/BS3 code text	Phosphatase assay/Malachite green assay 	19	No	moderate and supporting	supporting
ClinGen PTEN Expert Panel	26504226	"Costa HA, Leitner MG, Sos ML, Mavrantoni A, Rychkova A, Johnson JR, Newton BW, Yee MC, De La Vega FM, Ford JM, Krogan NJ, Shokat KM, Oliver D, Halaszovich CR, Bustamante CD. Discovery and functional characterization of a neomorphic PTEN mutation. Proc Natl Acad Sci U S A. 2015 Nov 10;112(45):13976-81. doi: 10.1073/pnas.1422504112. Epub 2015 Oct 26. PMID: 26504226; PMCID: PMC4653168."	PTEN	PS3/BS3 code text	Phosphatase assay 	3	No	moderate and supporting	supporting
ClinGen PTEN Expert Panel	29056325	"Malek M, Kielkowska A, Chessa T, Anderson KE, Barneda D, Pir P, Nakanishi H, Eguchi S, Koizumi A, Sasaki J, Juvin V, Kiselev VY, Niewczas I, Gray A, Valayer A, Spensberger D, Imbert M, Felisbino S, Habuchi T, Beinke S, Cosulich S, Le Novère N, Sasaki T, Clark J, Hawkins PT, Stephens LR. PTEN Regulates PI(3,4)P2 Signaling Downstream of Class I PI3K. Mol Cell. 2017 Nov 2;68(3):566-580.e10. doi: 10.1016/j.molcel.2017.09.024. Epub 2017 Oct 19. PMID: 29056325; PMCID: PMC5678281."	PTEN	PS3/BS3 code text	Phosphatase assay 	NA	No	moderate and supporting	supporting
ClinGen PTEN Expert Panel	21194675	"Tan MH, Mester J, Peterson C, Yang Y, Chen JL, Rybicki LA, Milas K, Pederson H, Remzi B, Orloff MS, Eng C. A clinical scoring system for selection of patients for PTEN mutation testing is proposed on the basis of a prospective study of 3042 probands. Am J Hum Genet. 2011 Jan 7;88(1):42-56. doi: 10.1016/j.ajhg.2010.11.013. Epub 2010 Dec 30. PMID: 21194675; PMCID: PMC3014373."	PTEN	PS3/BS3 code text	Western blot	NA	No	moderate and supporting	supporting
ClinGen PTEN Expert Panel	25527629	"Spinelli L, Black FM, Berg JN, Eickholt BJ, Leslie NR. Functionally distinct groups of inherited PTEN mutations in autism and tumour syndromes. J Med Genet. 2015 Feb;52(2):128-34. doi: 10.1136/jmedgenet-2014-102803. Epub 2014 Dec 19. PMID: 25527629; PMCID: PMC4316932."	PTEN	PS3/BS3 code text	Western blot	12	No	moderate and supporting	supporting
